Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
1000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
1000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
84000,000005E2,false,Rx,0,8,4E,0E,12,0D,09,1A,15,CF,
100000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
101000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
101000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
101000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
124000,000005E2,false,Rx,0,8,4E,0E,12,0D,09,1A,15,CF,
164000,000005E2,false,Rx,0,8,4E,0E,12,0D,09,1A,15,CF,
199000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
0,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
200000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
201000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
201000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
202000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
300000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
301000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
301000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
301000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
400000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
400000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
400000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
400000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
400000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
401000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
401000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
500000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
500000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
500000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
501000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
600000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
600000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
600000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
601000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
601000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
601000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
602000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
700000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
700000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
700000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
702000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
800000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
800000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
800000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
800000,0000007F,false,Rx,0,8,00,00,00,00,00,00,00,00,
801000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
801000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
0,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
900000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
900000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
901000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
903000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
0,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
1000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
1000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
1000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
1000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
100000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
101000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
101000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
103000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
104000,000005E2,false,Rx,0,8,4E,0E,13,0D,09,1A,15,CF,
143000,000005E2,false,Rx,0,8,4E,0E,13,0D,09,1A,15,CF,
183000,000005E2,false,Rx,0,8,4E,0E,13,0D,09,1A,15,CF,
200000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
200000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
200000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
201000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
201000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
201000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
201000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
300000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
302000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
400000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
400000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
400000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
401000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
401000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
401000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
401000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
500000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
500000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
500000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
503000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
600000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
600000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
600000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
600000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
600000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
602000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
602000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
700000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
700000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
701000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
704000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
800000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
801000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
801000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
801000,0000007F,false,Rx,0,8,00,00,00,00,00,00,00,00,
801000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
802000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
802000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
802000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
900000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
900000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
900000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
905000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
1000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
1000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
1000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
2000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
2000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
100000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
101000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
101000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
103000,000005E2,false,Rx,0,8,4E,0E,13,0E,09,1A,15,CF,
105000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
143000,000005E2,false,Rx,0,8,4E,0E,13,0E,09,1A,15,CF,
184000,000005E2,false,Rx,0,8,4E,0E,13,0E,09,1A,15,CF,
200000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
200000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
200000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
0,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
0,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
0,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
0,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
300000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
300000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
300000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
305000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
400000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
400000,00000018,false,Rx,0,8,00,00,00,40,00,00,04,10,
400000,00000050,false,Rx,0,4,00,83,00,00,00,00,00,00,
401000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
401000,00000120,false,Rx,0,4,00,00,00,00,00,00,00,00,
401000,00000517,false,Rx,0,8,00,00,40,00,00,00,00,00,
401000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
501000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
501000,00000110,false,Rx,0,8,22,20,20,00,00,00,00,00,
501000,00000519,false,Rx,0,8,00,00,00,00,00,00,00,00,
506000,00000015,false,Rx,0,4,00,00,00,00,00,00,00,00,
