Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
98000,0000012F,false,Rx,0,8,52,13,2F,0D,09,07,03,CF,
108000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
118000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
121000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
122000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
129000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
139000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
169000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
179000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
180000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
209000,00000100,false,Rx,0,8,62,00,00,04,00,00,00,00,
218000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
221000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
222000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
224000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
238000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
258000,00000197,false,Rx,0,8,0F,2F,44,00,00,00,00,00,
291000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
309000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
313000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
319000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
321000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
329000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
339000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
369000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
379000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
380000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
409000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
422000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
423000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
424000,000001EB,false,Rx,0,8,01,00,00,00,00,00,00,00,
438000,000001E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
492000,00000157,false,Rx,0,8,C4,FF,00,00,00,00,00,00,
502000,0000044D,false,Rx,0,8,40,02,00,00,00,00,FF,FF,
508000,00000506,false,Rx,0,8,00,00,02,3B,00,00,01,00,
518000,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
521000,000001DF,false,Rx,0,8,00,00,00,00,00,20,A0,00,
528000,00000173,false,Rx,0,8,01,00,00,00,00,00,00,00,
539000,00000122,false,Rx,0,8,FF,F3,FF,FF,FC,00,00,00,
569000,00000115,false,Rx,0,8,08,00,00,2D,00,00,00,00,
579000,00000114,false,Rx,0,8,08,60,00,01,00,00,00,00,
580000,00000123,false,Rx,0,8,00,00,00,00,00,00,00,00,
581000,0000012F,false,Rx,0,8,52,13,2F,0E,09,07,03,CF,
599000,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
619000,0000012F,false,Rx,0,8,52,13,2F,0E,09,07,03,CF,
621000,00000169,false,Rx,0,8,40,00,00,00,00,00,00,00,
623000,0000016A,false,Rx,0,8,04,30,00,00,00,00,00,00,
